description,category
order at starbucks 450,Food
bakery - breakfast,Food
fare 120 toll,Transport
youtube premium outing 2500,Entertainment
parking ride 800,Transport
workshop at bookstore 800,Education
gaming store 200,Entertainment
certification 200 tuition center,Education
zomato dinner 450,Food
paid gaming store for game purchase 500,Entertainment
movie ticket 450 concert,Entertainment
amusement park 650,Entertainment
paid h&m for shoes 120,Shopping
exam fee at bookstore 1500,Education
fare 650 petrol pump,Transport
recharge 650 electricity board,Bills
concert movie ticket 1500,Entertainment
kfc food delivery 50,Food
bakery - groceries,Food
college 200,Education
checkup 150 gym,Health
mobile network 999,Bills
cash payment at gift shop 250,Other
charity 800,Other
groceries at grocery store 150,Food
purchase 2000 ikea,Shopping
paid concert for concert ticket 200,Entertainment
broadband provider - rent,Bills
cash payment at atm 800,Other
food delivery at starbucks 999,Food
electricity board 2000,Bills
electronics at local market 150,Shopping
nike store gadget 2500,Shopping
paid railway for fuel 650,Transport
concert - outing,Entertainment
clinic - checkup,Health
recharge at dth 650,Bills
clinic - consultation,Health
paid grocery store for order 250,Food
game purchase at concert 250,Entertainment
meal at pizza hut 1500,Food
gift shop - miscellaneous expense,Other
paid railway for cab 800,Transport
college - tuition fee,Education
paid library for workshop 99,Education
physiotherapist 150,Health
withdrawal 200 unknown merchant,Other
gas agency recharge 650,Bills
paid landlord for invoice 650,Bills
lunch 120 grocery store,Food
gaming store outing 250,Entertainment
atm - donation,Other
h&m clothes 2000,Shopping
apollo pharmacy treatment 500,Health
tuition fee 120 tuition center,Education
hospital - membership fee,Health
electronics at mall 120,Shopping
transfer 2500 friend,Other
paid decathlon for gadget 2500,Shopping
subway dinner 50,Food
bill payment 1500 water department,Bills
uber - recharge,Transport
gym insurance premium 1500,Health
paid apollo pharmacy for insurance premium 650,Health
youtube premium - game purchase,Entertainment
paid dth for monthly bill 120,Bills
amusement park subscription 1200,Entertainment
recharge 99 ola,Transport
subway 450,Food
street food 50,Food
railway - ride,Transport
paid library for book purchase 450,Education
recharge at metro 2000,Transport
food delivery 120 grocery store,Food
electricity board 50,Bills
zomato 650,Food
library 1200,Education
dinner at bakery 150,Food
miscellaneous vendor withdrawal 120,Other
gaming store - subscription,Entertainment
paid udemy for certification 1200,Education
coffee 1200 zomato,Food
game purchase 999 bookmyshow,Entertainment
ola - commute,Transport
landlord monthly bill 2000,Bills
bookmyshow - streaming,Entertainment
kfc 300,Food
transfer 120 gift shop,Other
paid metro for commute 800,Transport
pizza hut snacks 800,Food
coursera workshop 800,Education
gaming store - subscription,Entertainment
canteen - coffee,Food
broadband provider - subscription fee,Bills
miscellaneous vendor transfer 1500,Other
paid library for certification 120,Education
zomato - lunch,Food
withdrawal 1200 gift shop,Other
apollo pharmacy - medicine,Health
railway ride 150,Transport
friend - donation,Other
takeout at mcdonalds 1500,Food
paid local market for furniture 1200,Shopping
paid friend for transfer 2500,Other
atm 800,Other
bank miscellaneous expense 2000,Other
top-up 300 airport taxi,Transport
donation 1200 charity,Other
insurance premium 500 diagnostic lab,Health
amazon 1500,Shopping
